lat,lng,t,f
41.89547538312982,12.472224002338802,person,50
41.89545866628234,12.47220828182133,person,50
41.89556565403061,12.472303727820266,person,50
41.89552553364601,12.472190315515649,person,50
41.89548875660465,12.472164488951229,person,50
41.89554559384146,12.472088132152079,person,50
41.895582370850086,12.472071288740501,car,50
41.89555562393682,12.472038724811453,person,50
41.89555562393682,12.472027495870401,person,50
41.89554559384146,12.472019635611664,person,50
41.89558571421346,12.47202300429398,person,50
41.89562583456025,12.472075780316922,person,50
41.895619147837536,12.472052199540714,person,50
41.89582977926677,12.472008406670613,person,50
41.89549209997293,12.4724631787832,person,60
41.89547872649879,12.472221756550592,person,60
41.89545532291232,12.47221052760954,person,60
41.89556565403061,12.472304850714373,person,60
41.89548875660465,12.472168980527648,person,60
41.89548541323621,12.472165611845334,person,60
41.89554559384146,12.472088132152079,person,60
41.895582370850086,12.472071288740501,car,60
41.89557568412282,12.472037601917348,person,60
41.8955589673016,12.472036479023243,person,60
41.89555562393682,12.472029741658613,person,60
41.89562583456025,12.472075780316922,person,60
41.89558571421346,12.47202525008219,person,60
41.895619147837536,12.472052199540714,person,60
41.89582643591618,12.472006160882403,person,60
41.89582643591618,12.471999423517772,person,60
41.89547872649879,12.472221756550592,person,70
41.89545532291232,12.472209404715436,person,70
41.89556565403061,12.472305973608478,person,70
41.89548875660465,12.472167857633544,person,70
41.89548541323621,12.472164488951229,person,70
41.89553222037852,12.472177963680492,person,70
41.895515503545916,12.472124064763443,person,70
41.89556565403061,12.472148768433756,person,70
41.89554559384146,12.472088132152079,person,70
41.895582370850086,12.472071288740501,car,70
41.89557902748654,12.472035356129137,person,70
41.8955589673016,12.472037601917348,person,70
41.89562583456025,12.472075780316922,person,70
41.895619147837536,12.472052199540714,person,70
41.89582309256541,12.472006160882403,person,70
41.89578965904809,12.471925312506832,person,70
41.89549209997293,12.4724631787832,person,80
41.89545866628234,12.47243510643057,person,80
41.89547538312982,12.472226248127011,person,80
41.89545197954212,12.47220828182133,person,80
41.89556565403061,12.472307096502583,person,80
41.89553222037852,12.472207158927224,person,80
41.89548875660465,12.472167857633544,person,80
41.89548541323621,12.472164488951229,person,80
41.89552887701235,12.472176840786387,person,80
41.89556899739486,12.472163366057123,person,80
41.89556231066619,12.472144276857335,person,80
41.89554559384146,12.472087009257974,person,80
41.895582370850086,12.472071288740501,car,80
41.89553222037852,12.472030864552718,person,80
41.89557902748654,12.472036479023243,person,80
41.89562583456025,12.472075780316922,person,80
41.895619147837536,12.47205107664661,person,80
41.89582309256541,12.472005037988298,person,80
41.89581974921446,12.471999423517772,person,80
41.89579300240061,12.471927558295043,person,80
41.89549209997293,12.4724631787832,person,90
41.89545866628234,12.47243735221878,person,90
41.8954452928012,12.47228239283227,person,90
41.895438606059585,12.472229616809328,person,90
41.89547538312982,12.472227371021116,person,90
41.89556565403061,12.472307096502583,person,90
41.89548875660465,12.472167857633544,person,90
