lat,lng,t,f
41.89573616538397,12.471900608836519,person,640
41.89537842535353,12.47239355934868,person,680
41.89567264159965,12.471993809047246,person,680
41.8956927017489,12.471914083565782,person,680
41.89573616538397,12.471900608836519,person,680
41.89537842535353,12.47239355934868,person,900
41.89542188920248,12.472231862597537,person,900
41.89567264159965,12.471992686153142,person,900
41.8956927017489,12.471914083565782,person,900
41.8957395087393,12.471897240154204,person,900
41.89538176872757,12.472390190666365,person,950
41.89541854583053,12.472235231279853,person,950
41.8956759849583,12.471991563259037,person,950
41.89569604510649,12.471914083565782,person,950
41.8957395087393,12.47189836304831,person,950
41.89538176872757,12.47238906777226,person,1000
41.89541854583053,12.472234108385749,person,1000
41.8956759849583,12.471991563259037,person,1000
41.89569604510649,12.471917452248096,person,1000
41.8957395087393,12.471897240154204,person,1000
41.89538176872757,12.472390190666365,person,1050
41.89541854583053,12.472235231279853,person,1050
41.8956759849583,12.47199044036493,person,1050
41.89569604510649,12.471917452248096,person,1050
41.8957395087393,12.4718961172601,person,1050
41.89538176872757,12.472387944878154,person,1320
41.89565926816333,12.472154382904282,person,1320
41.8956759849583,12.47199044036493,person,1320
41.89569604510649,12.471917452248096,person,1320
41.89569938846392,12.471907346201151,person,1320
41.8957395087393,12.471894994365995,person,1320
41.89538511210144,12.472385699089944,person,1840
41.89541520245841,12.4722453373268,person,1840
41.89541520245841,12.472238599962168,person,1840
41.89565926816333,12.472155505798387,person,1840
41.8956759849583,12.47199044036493,person,1840
41.89569604510649,12.471917452248096,person,1840
41.89569938846392,12.471906223307045,person,1840
41.8957395087393,12.4718961172601,person,1840
41.89538511210144,12.472386821984049,person,2160
41.89541520245841,12.4722453373268,person,2160
41.89541520245841,12.472238599962168,person,2160
41.89565926816333,12.472156628692492,person,2160
41.89567932831677,12.471985948788511,person,2160
41.895632521282266,12.471836603872525,person,2160
41.89569604510649,12.471917452248096,person,2160
41.89569938846392,12.471906223307045,person,2160
41.89574285209444,12.4718961172601,person,2160
41.89538511210144,12.472386821984049,person,1500
41.89565926816333,12.472158874480703,person,1500
41.89567932831677,12.471984825894406,person,1500
41.89569938846392,12.471917452248096,person,1500
41.89569938846392,12.471906223307045,person,1500
41.89574285209444,12.471892748577783,person,1500
41.89538511210144,12.47238457619584,person,1560
41.89541520245841,12.472249828903221,person,1560
41.895655924803805,12.472161120268913,person,1560
41.89567932831677,12.4719837030003,person,1560
41.89569938846392,12.471906223307045,person,1560
41.89574619544941,12.471891625683678,person,1560
41.89538511210144,12.47238233040763,person,1890
41.89541520245841,12.472249828903221,person,1890
41.895652581444104,12.472166734739439,person,1890
41.89567932831677,12.4719837030003,person,1890
41.89569938846392,12.471917452248096,person,1890
41.89569938846392,12.471906223307045,person,1890
41.89574619544941,12.471890502789574,person,1890
41.895391798848664,12.472376715937102,person,1680
41.895655924803805,12.472164488951229,person,1680
41.89567932831677,12.4719837030003,person,1680
41.89569938846392,12.471918575142201,person,1680
41.89569938846392,12.47190510041294,person,1680
41.89574619544941,12.471890502789574,person,1680
41.895391798848664,12.472376715937102,person,1450
41.89567932831677,12.4719837030003,person,1450
41.89569938846392,12.471918575142201,person,1450
41.89569938846392,12.471906223307045,person,1450
41.89574619544941,12.471890502789574,person,1450
41.895391798848664,12.47237447014889,person,1800
41.89541185908611,12.472253197585536,person,1800
41.89567932831677,12.4719837030003,person,1800
41.89569938846392,12.471918575142201,person,1800
41.89569938846392,12.47190510041294,person,1800
41.89574619544941,12.471889379895469,person,1800
41.895391798848664,12.472373347254786,person,1860
41.89541185908611,12.472256566267852,person,1860
41.895652581444104,12.472171226315862,person,1860
41.89567932831677,12.471982580106195,person,1860
41.89569938846392,12.47190510041294,person,1860
41.8957495388042,12.471887134107257,person,1860
41.89539848559518,12.472363241207841,person,2240
41.895652581444104,12.472172349209966,person,2240
41.89568267167507,12.47198145721209,person,2240
41.895632521282266,12.471837726766632,person,2240
41.89569938846392,12.471918575142201,person,2240
41.89569938846392,12.47190510041294,person,2240
41.8957495388042,12.471886011213153,person,2240
41.89539514222201,12.472364364101946,person,2640
41.89541185908611,12.472257689161957,person,2640
41.895652581444104,12.472173472104071,person,2640
41.89568267167507,12.471980334317985,person,2640
41.895632521282266,12.471837726766632,person,2640
41.89569938846392,12.471918575142201,person,2640
41.89569938846392,12.47190510041294,person,2640
41.8957495388042,12.471886011213153,person,2640
41.895652581444104,12.47217571789228,person,2040
41.89568267167507,12.47197921142388,person,2040
41.895632521282266,12.471837726766632,person,2040
41.89569938846392,12.471918575142201,person,2040
41.89569938846392,12.47190510041294,person,2040
41.8957495388042,12.471886011213153,person,2040
41.895652581444104,12.47217571789228,person,2100
41.89568267167507,12.47197921142388,person,2100
41.895632521282266,12.471837726766632,person,2100
41.89569938846392,12.471918575142201,person,2100
41.89569938846392,12.47190510041294,person,2100
41.8957495388042,12.471884888319046,person,2100
41.89539514222201,12.47236099541963,person,2880
41.89541185908611,12.472259934950166,person,2880
41.895652581444104,12.472176840786387,person,2880
41.89568267167507,12.47197921142388,person,2880
41.895632521282266,12.471838849660736,person,2880
41.89569938846392,12.471918575142201,person,2880
41.89569938846392,12.47190510041294,person,2880
41.895752882158824,12.471881519636732,person,2880
41.89539848559518,12.472359872525525,person,2220
41.895652581444104,12.472176840786387,person,2220
41.89568267167507,12.471980334317985,person,2220
41.89569938846392,12.471918575142201,person,2220
41.89569938846392,12.471906223307045,person,2220
41.895752882158824,12.471881519636732,person,2220
41.89539514222201,12.47236099541963,person,2280
41.895652581444104,12.472179086574597,person,2280
41.89568267167507,12.471980334317985,person,2280
41.89569938846392,12.471918575142201,person,2280
41.89569604510649,12.471906223307045,person,2280
41.895752882158824,12.47187927384852,person,2280
41.89539848559518,12.47235650384321,person,2340
41.895652581444104,12.472177963680492,person,2340
41.89568267167507,12.47197921142388,person,2340
41.89569938846392,12.471917452248096,person,2340
41.89569938846392,12.471906223307045,person,2340
41.895752882158824,12.47187927384852,person,2340
